model,operation,feature,pixel4|gpu|float,pixel4|gpu|kernel,s10|gpu|float,s10|gpu|kernel,mi8se|gpu|float,mi8se|gpu|kernel,a03s|gpu|float,a03s|gpu|kernel,iphone7|gpu|float,iphone7|gpu|kernel,iphonexs|gpu|float,iphonexs|gpu|kernel
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 256, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '256', 'Group': '1', 'FLOPS': '95551488'}",336.1024,convolution_2d_94_linked_:_relu_95,344.945,convolution_2d_94_linked_:_relu_95,1160.7296,convolution_2d_94_linked_:_relu_95,3015.766,convolution_2d_94_linked_:_relu_95,392.859,convolution_2d_94_linked_:_relu_95,160.281,convolution_2d_94_linked_:_relu_95
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 256, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '1024', 'Group': '1', 'FLOPS': '382205952'}",1194.5728,convolution_2d_96_linked_:_add_97_linked_:_relu_98,1071.818,convolution_2d_96_linked_:_add_97_linked_:_relu_98,4854.6944,convolution_2d_96_linked_:_add_97_linked_:_relu_98,11800.039,convolution_2d_96_linked_:_add_97_linked_:_relu_98,1731.285,convolution_2d_96_linked_:_add_97_linked_:_relu_98,615.02,convolution_2d_96_linked_:_add_97_linked_:_relu_98
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 1024, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '512', 'Group': '1', 'FLOPS': '764411904'}",2283.52,convolution_2d_99_linked_:_relu_100,2094.057,convolution_2d_99_linked_:_relu_100,9378.7648,convolution_2d_99_linked_:_relu_100,22560.691,convolution_2d_99_linked_:_relu_100,2896.488,convolution_2d_99_linked_:_relu_100,1225.922,convolution_2d_99_linked_:_relu_100
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 512, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '512', 'Group': '1', 'FLOPS': '382205952'}",1165.9008,convolution_2d_101_linked_:_relu_102,1046.444,convolution_2d_101_linked_:_relu_102,4721.3824,convolution_2d_101_linked_:_relu_102,11476.398,convolution_2d_101_linked_:_relu_102,1468.207,convolution_2d_101_linked_:_relu_102,615.734,convolution_2d_101_linked_:_relu_102
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 512, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '2048', 'Group': '1', 'FLOPS': '1528823808'}",4398.1312,convolution_2d_103,4068.176,convolution_2d_103,18598.8096,convolution_2d_103,45095.707,convolution_2d_103,5532.0,convolution_2d_103,2465.359,convolution_2d_103
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 1024, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '2048', 'Group': '1', 'FLOPS': '3057647616'}",8730.5728,convolution_2d_104_linked_:_add_105_linked_:_relu_106,8029.009,convolution_2d_104_linked_:_add_105_linked_:_relu_106,37381.0048,convolution_2d_104_linked_:_add_105_linked_:_relu_106,89084.578,convolution_2d_104_linked_:_add_105_linked_:_relu_106,13329.758,convolution_2d_104_linked_:_add_105_linked_:_relu_106,5161.75,convolution_2d_104_linked_:_add_105_linked_:_relu_106
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 2048, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '512', 'Group': '1', 'FLOPS': '1528823808'}",4704.8192,convolution_2d_107_linked_:_relu_108,4150.087,convolution_2d_107_linked_:_relu_108,18666.5472,convolution_2d_107_linked_:_relu_108,44753.941,convolution_2d_107_linked_:_relu_108,5826.918,convolution_2d_107_linked_:_relu_108,2484.898,convolution_2d_107_linked_:_relu_108
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 512, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '512', 'Group': '1', 'FLOPS': '382205952'}",1162.4448,convolution_2d_109_linked_:_relu_110,1049.846,convolution_2d_109_linked_:_relu_110,4731.0336,convolution_2d_109_linked_:_relu_110,11498.832,convolution_2d_109_linked_:_relu_110,1468.098,convolution_2d_109_linked_:_relu_110,618.152,convolution_2d_109_linked_:_relu_110
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 512, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '2048', 'Group': '1', 'FLOPS': '1528823808'}",4465.4208,convolution_2d_111_linked_:_add_112_linked_:_relu_113,4062.585,convolution_2d_111_linked_:_add_112_linked_:_relu_113,18828.5568,convolution_2d_111_linked_:_add_112_linked_:_relu_113,44988.398,convolution_2d_111_linked_:_add_112_linked_:_relu_113,6734.836,convolution_2d_111_linked_:_add_112_linked_:_relu_113,2525.68,convolution_2d_111_linked_:_add_112_linked_:_relu_113
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 2048, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '512', 'Group': '1', 'FLOPS': '1528823808'}",4698.4192,convolution_2d_114_linked_:_relu_115,4148.15,convolution_2d_114_linked_:_relu_115,18661.1456,convolution_2d_114_linked_:_relu_115,44758.867,convolution_2d_114_linked_:_relu_115,5826.601,convolution_2d_114_linked_:_relu_115,2507.172,convolution_2d_114_linked_:_relu_115
bagnet9,CONV_2D,"{'Input_shape': '27', 'Input_channel': 512, 'Output_shape': '27', 'Stride': '1', 'Kernel': '1', 'Filter': '512', 'Group': '1', 'FLOPS': '382205952'}",1163.6352,convolution_2d_116_linked_:_relu_117,1052.936,convolution_2d_116_linked_:_relu_117,4733.504,convolution_2d_116_linked_:_relu_117,11471.137,convolution_2d_116_linked_:_relu_117,1468.789,convolution_2d_116_linked_:_relu_117,625.137,convolution_2d_116_linked_:_relu_117
